Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"912863788","5.55","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:50:31","000c869d-0001-54c4-0000-4b900020aa72_000c869d-0001-54c4-0000-0000803a0279","CHZ/USD","Chiliz / USD","","CFD"
"912863784","5.56","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:50:21","000c869d-0001-54c4-0000-4b900020a9d2_000c869d-0001-54c4-0000-0000803a026c","CHZ/USD","Chiliz / USD","","CFD"
"912863755","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:48:52","0004405d-0009-40dd-0000-4b9000037603_0004405d-0009-40dd-0000-0000802800d4","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863754","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:48:52","0004405d-0009-40dd-0000-4b9000037602_0004405d-0009-40dd-0000-0000802800d1","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863753","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:48:52","0004405d-0009-40dd-0000-4b9000037601_0004405d-0009-40dd-0000-0000802800ce","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863752","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:48:51","0004405d-0009-40dd-0000-4b9000037600_0004405d-0009-40dd-0000-0000802800cb","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863751","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:48:51","0004405d-0009-40dd-0000-4b90000375ff_0004405d-0009-40dd-0000-0000802800c4","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863750","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:48:51","0004405d-0009-40dd-0000-4b90000375fe_0004405d-0009-40dd-0000-0000802800be","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863749","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:48:51","0004405d-0009-40dd-0000-4b90000375fd_0004405d-0009-40dd-0000-0000802800b5","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863734","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:47:33","0004405d-0009-40dd-0000-4b900003753b_0004405d-0009-40dd-0000-0000802800b0","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863716","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:46:10","0004405d-0009-40dd-0000-4b900003745f_0004405d-0009-40dd-0000-0000802800ad","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863713","5.57","0","USD","TRADE","PROCESSED","2022-12-18 16:46:03","0004405d-0009-40dd-0000-4b9000037449_0004405d-0009-40dd-0000-0000802800a8","ADA/BTC","Cardano / Bitcoin","","CFD"
"912863693","5.57","-0.02","USD","TRADE","PROCESSED","2022-12-18 16:45:02","0061241d-0000-5552-0000-4b9000018fcf_0061241d-0000-5552-0000-0000802701ac","XRP/EUR","Ripple / EUR","","CFD"
"912863692","5.59","-0.02","USD","TRADE","PROCESSED","2022-12-18 16:44:52","0061241d-0000-5552-0000-4b9000018fc0_0061241d-0000-5552-0000-0000802701a7","XRP/EUR","Ripple / EUR","","CFD"
